"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"111786","Enjox Toys","5.03252","92.31","0.20","2025-03-21","green","none","0","yes","no","0","0","0","0","30","Retail & Shopping","Erotic|Health & Beauty","Erotic","54","US","Enjox helps couples stay intimately connected across distances. Our products combine premium body-safe materials, long battery life, and secure encryption with responsive vibration technology.","https://ui.awin.com/images/upload/merchant/profile/111786.png","https://www.enjox.com/"
"28579","TASCHEN FR","7.11415","100.00","0.18","2022-12-05","amber","exposurelevel2","73.4655","yes","no","0","0","0","0","30","Retail & Shopping","Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography","Books & Subscriptions","122","FR","Publishers of art, anthropology  aphrodisia since 1980.","https://ui.awin.com/images/upload/merchant/profile/28579.png","https://www.taschen.com/"
"121870","Poster Master US","8.85417","59.79","0.78","2025-11-25","amber","exposurelevel1","43.8357","yes","no","0","0","0","0","30","Retail & Shopping","Furniture & Soft Furnishings|Home & Garden|Photos & Print Services","Photos & Print Services","68","US","Poster Master began as a passion for creative expression and has grown into a global décor brand, offering premium posters, canvas prints, and stylish wall art now enjoyed by customers across the U.S., Europe, and beyond.","https://ui.awin.com/images/upload/merchant/profile/121870.png","https://postermasterstudio.com/"
"28585","TASCHEN US","0.545752","80.00","0.12","2022-12-05","amber","exposurelevel4","69.8912","yes","no","0","0","0","0","30","Retail & Shopping","Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography","Books & Subscriptions","111","US","TASCHEN is a leading art-book publisher known for its dazzling and audacious world of eye-catching coffee table books.","https://ui.awin.com/images/upload/merchant/profile/28585.png","https://www.taschen.com/"
"65850","Big Wall Decor (US)","5.34528","91.15","1.60","2024-02-08","amber","exposurelevel1","84.5245","yes","no","0","0","0","0","30","","DIY|Furniture & Soft Furnishings|Home & Garden|Photography","Home & Garden","38","US","BIG Wall Décor is the largest online store for oversized wall art. We work with today's top trending artists to bring you high quality art pieces that are larger than life.","https://ui.awin.com/images/upload/merchant/profile/65850.png","https://bigwalldecor.com/"
"123978","retouch4me","51.2705","85.64","7.93","2026-03-07","amber","exposurelevel2","87.9965","no","no","0","0","0","0","30","Retail & Shopping","Photos & Print Services","Photos & Print Services","23","US","Retouch4.me is a set of AI-powered software tools for photo retouching. These plugins are designed to simplify the image editing process by automating various stages of retouching, such as skin enhancement, defect removal, texture improvement etc","https://ui.awin.com/images/upload/merchant/profile/123978.png","https://retouch4.me/"
"28581","TASCHEN ES","4.01215","100.00","0.08","2022-12-05","amber","exposurelevel2","81.6869","yes","no","0","0","0","0","30","Retail & Shopping","Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography","Books & Subscriptions","105","ES","Publishers of art, anthropology  aphrodisia since 1980.","https://ui.awin.com/images/upload/merchant/profile/28581.png","https://www.taschen.com/"
"28575","TASCHEN UK","0.669515","100.00","0.01","2022-12-05","amber","exposurelevel4","67.6708","yes","no","0","0","0","0","30","","Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography","Books & Subscriptions","110","GB","Publishers of art, anthropology  aphrodisia since 1980.","https://ui.awin.com/images/upload/merchant/profile/28575.png","https://www.taschen.com/"
"28577","TASCHEN DE","3.39709","100.00","0.16","2022-12-05","amber","exposurelevel2","71.0796","yes","no","0","0","0","0","30","Retail & Shopping","Books & Subscriptions|Gifts & Flowers|Home & Garden|Photography","Books & Subscriptions","103","DE","Publishers of art, anthropology  aphrodisia since 1980.","https://ui.awin.com/images/upload/merchant/profile/28577.png","https://www.taschen.com/"
"113542","WhiteWall - Award Winning Photo Lab DE","7.23247","98.40","0.42","2025-03-19","amber","exposurelevel1","86.8887","no","no","0","0","0","0","30","Retail & Shopping","Photography|Photos & Print Services","Photos & Print Services","29","DE","WhiteWall is the best photo lab for anyone who loves photography. Our award-winning gallery quality is based on first-class carrier materials, high-quality laminations and our in-house frame manufacture","https://ui.awin.com/images/upload/merchant/profile/113542.png","https://www.whitewall.com/"
"125856","Nexbie","","0.00","0.00","2026-05-14","green","none","0","yes","no","0","0","0","0","30","Retail & Shopping","DIY|Gifts & Flowers|Pets & Pet Care|Toys & Games","Toys & Games","null","US","Nexbie by Creality is a 3D/UV-print creative marketplace: articulated toys, designer cat figures, officially licensed Snoopy  FIFA World Cup 2026 puzzles, and custom pet art. Collectible, giftable, scroll-stopping. 15% on all sales, 30-day cookie.","https://ui.awin.com/images/upload/merchant/profile/125856.png","https://www.nexbie.com/"
"28583","TASCHEN IT","2.07587","100.00","0.12","2022-12-05","amber","exposurelevel2","0","yes","no","0","0","0","0","30","Retail & Shopping","Clothing|Gifts & Flowers|Home & Garden|Photography","Clothing","114","IT","Publishers of art, anthropology  aphrodisia since 1980.","https://ui.awin.com/images/upload/merchant/profile/28583.png","https://www.taschen.com/"
