"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"126623","Fantastic Tees (US)","2.73148","100.00","0.06","2026-05-04","amber","exposurelevel1","63.0705","yes","no","0","0","0","0","30","Retail & Shopping","Clothing|Menswear","Clothing","null","US","Fantastic Tees is a patriotic and faith-inspired apparel brand offering bold graphic tees, hoodies, and lifestyle apparel designed for customers who value freedom, faith, and American pride.","https://ui.awin.com/images/upload/merchant/profile/126623.png","https://fantastictees.com/"
"90759","BONHEUR JEWELRY","1.69147","35.42","0.87","2025-08-04","green","none","24.3823","yes","yes","0","0","0","0","30","Retail & Shopping","Clothing Accessories|Jewellery","Jewellery","70","US","Bonheur Jewelry is a celebrity-favorite, eco-friendly jewelry brand based in NYC and featured on celebrities such as Emma Watson, Gal Galdot, Katy Perry, Gigi Hadid, Bella Hadid, Kim Kardashian, Kendal Jenner, Hailey Bieber, etc. We have been fe","https://ui.awin.com/images/upload/merchant/profile/90759.png","https://www.bonheurjewelry.com"
"127859","monvane","7.32323","100.00","1.22","2026-06-12","amber","exposurelevel1","67.7788","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","Promote one of the fastest-growing modular sofa brands and earn 10% commission on every sale. MONVANE offers high-AOV products with $500+, a 30-day cookie window, and furniture designed for modern living.","https://ui.awin.com/images/upload/merchant/profile/127859.png","https://monvane.com/"
"55213","MeoWant","3.65533","93.18","1.07","2025-07-15","green","none","51.6921","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","71","US","Welcome to the MeoWant affiliate program! As an affiliate, you'll be promoting our high-quality pet products and earning commission on sales referred by you. Our products range from premium cat and dog feeders to water fountains, grooming access","https://ui.awin.com/images/upload/merchant/profile/55213.png","https://meowant.com"
"111366","Sparkle GmbH","6.58299","82.22","0.49","2025-08-05","green","none","50.2987","yes","yes","0","0","0","0","30","Retail & Shopping","Clothing Accessories","Clothing Accessories","70","US","Welcome to the Hey Happiness Affiliate Program—your opportunity to partner with a brand that combines style and impact. We specialize in high-quality, timeless jewelry with an average cart value of €60, designed to bring joy and elegance to ever","https://ui.awin.com/images/upload/merchant/profile/111366.png","https://www.heyhappiness.com"
"116725","World Businesses for Sale","50","100.00","0.09","2025-06-09","amber","exposurelevel1","85.6752","yes","no","0","0","0","0","30","Finance & Insurance","Savings & Investments","Savings & Investments","null","GB","Apply to join our program today! We're actively seeking influencers, bloggers, vloggers, and content creators. Partner with us and earn generous payments promoting exciting global business opportunities. Let’s grow together!","https://ui.awin.com/images/upload/merchant/profile/116725.png","https://worldbusinessesforsale.com/"
"36118","Leica Camera","0.0365048","70.00","0.00","2025-07-29","green","none","38.2037","no","yes","0","0","0","0","1","Retail & Shopping","Computers","Computers","24","US","Leica Camera USA offers an affiliate program for Content creators, photography professionals and Influencers who are passionate about photography and technology.","https://ui.awin.com/images/upload/merchant/profile/36118.png","https://leicacamerausa.com"
"128033","Dima Eyewear (US)","2.99656","92.86","0.26","2026-06-19","amber","exposurelevel4","60.8084","yes","no","0","0","0","0","30","Retail & Shopping","Clothing Accessories","Clothing Accessories","null","US","Dima Eyewear is a direct-to-consumer sunglasses brand dedicated to providing high-quality, stylish, eco-friendly, and durable eyewear. Join us to earn competitive commissions by promoting sunglasses that combine modern fashion with sustainability and long","https://ui.awin.com/images/upload/merchant/profile/128033.png","https://dimaeyewear.com/"
"123618","Cozeware","4.71304","75.70","5.06","2026-03-20","amber","exposurelevel2","78.6176","no","no","0","0","0","0","45","Retail & Shopping","Electronic Accessories|Furniture & Soft Furnishings|Green (Eco friendly)|Home & Garden","Home & Garden","31","US","Cozeware is redefining comfort by transforming the air you breathe. We challenge the industry's narrative that superior air quality, intelligent climate control, and elegant design must come at a premium.","https://ui.awin.com/images/upload/merchant/profile/123618.png","https://www.cozeware.com/"
"127139","Vivid Customs Affiliate Program","4.5262","100.00","1.22","2026-05-25","amber","exposurelevel1","64.9812","no","no","0","0","0","0","30","Retail & Shopping","Clothing","Clothing","64","US","Vivid Customs is a U.S.-based custom apparel and embroidery company offering premium screen printing, embroidery, fundraising apparel, uniforms, branded merchandise, and promotional products with no minimum order requirements and free nationwide shipping.","https://ui.awin.com/images/upload/merchant/profile/127139.png","https://vividcustoms.com/"
"124816","Traverseon","3.45425","85.92","0.40","2026-03-14","amber","exposurelevel1","51.4896","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","63","US","Traverseon is a premium outdoor gear brand trusted by over 300,000 adventurers across the world. Our mission is to ""Simplify Your Outdoor Life"" by designing compact and ultra-portable gear systems that allow city dwellers to venture into nature with ease.","https://ui.awin.com/images/upload/merchant/profile/124816.png","https://traverseon.com/"
"126975","EasyClaw","","0.00","0.00","2026-05-29","amber","exposurelevel1","0","no","no","0","0","0","0","30","Telco's & Services","Software Downloads","Software Downloads","null","US","Promote EasyClaw, an AI productivity platform that helps users work smarter and faster. Share AI workflow and productivity tools with your audience while earning commissions, exclusive offers, strong conversions, and affiliate support.","https://ui.awin.com/images/upload/merchant/profile/126975.png","https://easyclaw.com/"
"124136","Kingbull Bike","24.8598","80.75","21.54","2026-02-26","amber","exposurelevel2","67.8248","yes","no","0","0","0","0","30","Retail & Shopping","Green (Eco friendly)|Sports Equipment","Sports Equipment","44","US","At Kingbull, we believe the perfect ride is personal. Since 2023, over 20,000 U.S. riders have chosen our e-bikes for quality, performance, and versatility. From city commutes to rugged trails and compact storage, every model fits your lifestyle.","https://ui.awin.com/images/upload/merchant/profile/124136.png","https://kingbullbike.com/"
"99013","Shenzhen Cangyu Technology Co., Ltd.","4.57083","82.76","1.65","2025-08-05","green","none","64.6436","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","49","US","About Us
Simple Project is a bathroom product brand that combines simplicity and sophistication with a commitment to exceeding customer expectations. We specialize in the design, production and sale of high-quality toilets, aimi","https://ui.awin.com/images/upload/merchant/profile/99013.png","https://simpleprojectus.com"
"89509","Piscifun","7.33362","70.66","0.82","2025-06-25","green","none","53.2113","yes","yes","0","0","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Sports Equipment|Sportswear|Toys & Games","Sports Equipment","63","US","Piscifun, a Professional Brand of fishing tackle, including fishing reels, rods and accessories. We offer great fishing gear at an affordable price with excellent Custom Service!","https://ui.awin.com/images/upload/merchant/profile/89509.png","https://www.piscifun.com"
"120101","Alison US CA","3.08223","98.40","0.24","2025-12-06","amber","exposurelevel2","66.7211","yes","no","0","0","0","0","30","Telco's & Services","Education Training & Recruitment","Education, Training & Recruitment","52","US","Founded in 2007, Alison is the world’s largest free online empowerment platform for education and skills training. We offer over 6000 CPD accredited courses and a range of impactful career development tools.","https://ui.awin.com/images/upload/merchant/profile/120101.png","https://alison.com/"
"122512","Sunaofe US","7.36752","94.32","8.73","2026-02-24","amber","exposurelevel2","60.6836","yes","yes","0","0","0","0","45","Retail & Shopping","Furniture & Soft Furnishings|Home & Garden|Office Supplies","Furniture & Soft Furnishings","75","US","Join the Sunaofe Affiliate Program and partner with a rising star in the ergonomic office furniture industry. We specialize in premium standing desks and ergonomic chairs designed for the modern remote worker and gamer.","https://ui.awin.com/images/upload/merchant/profile/122512.png","https://sunaofe.com/"
"113386","Blimburn Seeds","3.57225","84.90","1.00","2025-03-04","amber","exposurelevel1","61.2106","yes","no","0","0","0","0","60","Retail & Shopping","FMCG|Gifts & Flowers|Green (Eco friendly)|Home & Garden|Pharmaceuticals|Wine Spirits & Tobacco","Home & Garden","53","US","Blimburn Seeds is a renowned seed bank since 2002, offering over 1,000 high-quality seed varieties from expert cultivators. We focus on innovation, genetic excellence, and customer satisfaction, serving a global market.","https://ui.awin.com/images/upload/merchant/profile/113386.png","https://blimburnseeds.com/"
"52103","EFE","11.2785","95.35","0.83","2025-08-18","green","none","58.9916","yes","yes","0","0","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Department Stores|Health & Beauty","Clothing Accessories","72","US","EFE Glasses is a fashion-accessories eyewear brand offering trendy TR90/acetate/metal frames priced $19.99–$199.99. Styles for men and women across the US and worldwide—while rewarding affiliates with high commissions.","https://ui.awin.com/images/upload/merchant/profile/52103.png","https://www.efeglasses.com/"
"63708","TWOPAGES","1.10676","58.82","0.71","2025-06-17","green","none","46.981","yes","yes","0","0","0","0","14","Retail & Shopping","Home & Garden","Home & Garden","52","US","TWOPAGES offers premium, made-to-order curtains and Roman shades with customizable options to fit any space. Trusted by designers and influencers, we blend high-quality materials with timeless style for beautiful home interiors.","https://ui.awin.com/images/upload/merchant/profile/63708.png","https://twopagescurtains.com"
"95201","Giftlab","6.62971","100.00","0.35","2025-07-24","green","none","57.6648","yes","yes","0","0","0","0","30","Retail & Shopping","Gifts & Flowers","Gifts & Flowers","70","US","About GiftLAB®
GiftLAB® (www.giftlab.com) is a leading provider of personalized gifts and more. 

We specialize in producing and selling custom photo gifts and funny face gifts worldwide. 

We strive to provide cus","https://ui.awin.com/images/upload/merchant/profile/95201.png","https://www.giftlab.com/"
"122946","COLAMY","7.00313","93.13","0.98","2025-12-23","amber","exposurelevel1","69.0116","yes","no","0","0","0","0","30","Retail & Shopping","Furniture & Soft Furnishings","Furniture & Soft Furnishings","49","US","Colamy is dedicated to designing office seating that balances comfort, functionality, and modern aesthetics.","https://ui.awin.com/images/upload/merchant/profile/122946.png","https://colamyhome.com/"
"98239","Lumary","2.14844","74.19","0.26","2025-08-18","green","none","51.5616","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","57","US","
","https://ui.awin.com/images/upload/merchant/profile/98239.png","https://lumarysmart.com"
